EmployeeNo,Division,Qualification,Gender,Channel_of_Recruitment,Trainings_Attended,Year_of_birth,Last_performance_score,Year_of_recruitment,Targets_met,Previous_Award,Training_score_average,State_Of_Origin,Foreign_schooled,Marital_Status,Past_Disciplinary_Action,Previous_IntraDepartmental_Movement,No_of_previous_employers,Promoted_or_Not
YAK/S/00062,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,2,1996,7.5,2016,0,0,45,FCT,Yes,Single,No,Yes,2,0
YAK/S/00064,Commercial Sales and Marketing,MSc  MBA and PhD,Male,Direct Internal process,2,1986,10,2017,1,0,44,OGUN,Yes,Married,No,No,0,0
YAK/S/00065,Research and Innovation,First Degree or HND,Male,Agency and others,2,1987,12.5,2014,0,0,79,FCT,Yes,Married,No,No,1,0
YAK/S/00066,Customer Support and Field Operations,MSc  MBA and PhD,Female,Direct Internal process,2,1990,7.5,2016,1,0,50,KANO,Yes,Married,No,No,0,0
YAK/S/00068,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,2,1994,0,2018,0,0,53,ENUGU,No,Married,No,No,0,1
YAK/S/00070,Information and Strategy,First Degree or HND,Male,Agency and others,2,1991,7.5,2012,1,0,76,GOMBE,No,Married,No,No,0,1
YAK/S/00071,Customer Support and Field Operations,First Degree or HND,Female,Agency and others,2,1971,12.5,2014,1,0,51,KADUNA,Yes,Single,No,No,1,0
YAK/S/00073,Commercial Sales and Marketing,MSc  MBA and PhD,Female,Direct Internal process,2,1980,2.5,2007,0,0,44,LAGOS,Yes,Married,No,No,0,0
YAK/S/00074,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,2,1989,10,2013,0,0,36,OYO,Yes,Married,No,No,1,0
YAK/S/00075,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,2,1971,7.5,2005,0,0,44,NIGER,Yes,Married,No,Yes,1,0
YAK/S/00076,Commercial Sales and Marketing,MSc  MBA and PhD,Male,Direct Internal process,2,1983,10,2017,1,0,41,EDO,Yes,Married,No,No,1,1
YAK/S/00077,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,3,1992,2.5,2014,0,0,43,FCT,Yes,Married,No,No,0,0
YAK/S/00078,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,2,1986,10,2016,1,0,45,OGUN,Yes,Married,No,No,4,0
YAK/S/00079,Information and Strategy,First Degree or HND,Male,Agency and others,2,1996,7.5,2017,1,0,83,OGUN,Yes,Married,No,No,0,0
YAK/S/00081,Information Technology and Solution Support,First Degree or HND,Male,Referral and Special candidates,2,1974,7.5,2012,0,0,71,LAGOS,Yes,Married,No,No,0,0
YAK/S/00082,Customer Support and Field Operations,MSc  MBA and PhD,Male,Direct Internal process,2,1986,5,2012,0,0,45,PLATEAU,Yes,Single,No,No,0,0
YAK/S/00085,Regulatory and Legal services,First Degree or HND,Male,Agency and others,2,1992,0,2018,0,0,57,ANAMBRA,Yes,Married,No,No,1,1
YAK/S/00086,Customer Support and Field Operations,MSc  MBA and PhD,Female,Direct Internal process,2,1979,12.5,2008,1,0,52,PLATEAU,Yes,Married,No,No,1,1
YAK/S/00087,People/HR Management,First Degree or HND,Female,Direct Internal process,2,1993,5,2013,0,0,44,OGUN,Yes,Single,No,No,0,0
YAK/S/00089,Sourcing and Purchasing,MSc  MBA and PhD,Male,Direct Internal process,2,1989,12.5,2016,1,0,61,DELTA,Yes,Single,No,No,0,1
YAK/S/00090,Commercial Sales and Marketing,First Degree or HND,Female,Agency and others,2,1990,0,2018,0,0,43,BENUE,Yes,Single,No,No,3,0
YAK/S/00091,Commercial Sales and Marketing,,Female,Direct Internal process,2,2001,0,2018,0,0,47,ZAMFARA,Yes,Single,No,No,2,0
YAK/S/00093,Sourcing and Purchasing,MSc  MBA and PhD,Male,Direct Internal process,3,1975,10,2016,1,0,66,NIGER,Yes,Married,No,No,1,0
YAK/S/00094,People/HR Management,MSc  MBA and PhD,Male,Agency and others,2,1974,7.5,2012,0,0,36,GOMBE,Yes,Married,No,No,1,0
YAK/S/00095,Customer Support and Field Operations,First Degree or HND,Female,Agency and others,2,1977,10,2006,0,0,45,OSUN,Yes,Single,No,No,0,0
YAK/S/00097,Information Technology and Solution Support,First Degree or HND,Female,Direct Internal process,2,1998,0,2018,0,0,69,KANO,Yes,Married,No,No,1,0
YAK/S/00098,Customer Support and Field Operations,First Degree or HND,Female,Direct Internal process,2,1988,7.5,2014,0,0,49,ABIA,Yes,Single,No,No,0,0
YAK/S/00100,Business Finance Operations,MSc  MBA and PhD,Male,Agency and others,2,1957,12.5,2002,0,0,51,BORNO,Yes,Single,No,No,1,0
YAK/S/00102,Customer Support and Field Operations,First Degree or HND,Female,Agency and others,2,1984,7.5,2008,0,0,49,IMO,Yes,Single,No,No,2,0
YAK/S/00103,Information and Strategy,First Degree or HND,Male,Direct Internal process,3,1982,7.5,2015,1,0,75,KWARA,Yes,Married,No,No,1,0
YAK/S/00105,Commercial Sales and Marketing,MSc  MBA and PhD,Male,Direct Internal process,2,1979,12.5,2015,0,0,42,RIVERS,Yes,Married,No,Yes,0,0
YAK/S/00106,Customer Support and Field Operations,First Degree or HND,Male,Agency and others,2,1986,10,2013,1,0,49,LAGOS,Yes,Married,No,No,0,1
YAK/S/00107,Customer Support and Field Operations,MSc  MBA and PhD,Female,Direct Internal process,2,1980,10,2013,1,0,54,BENUE,Yes,Married,No,Yes,0,0
YAK/S/00108,Sourcing and Purchasing,First Degree or HND,Female,Agency and others,2,1998,7.5,2017,0,0,65,NIGER,Yes,Married,No,No,1,0
YAK/S/00109,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,3,1990,7.5,2015,0,0,42,IMO,Yes,Single,No,No,0,0
YAK/S/00110,Information and Strategy,MSc  MBA and PhD,Male,Agency and others,2,1979,5,2000,0,0,71,LAGOS,Yes,Single,No,No,4,0
YAK/S/00112,People/HR Management,First Degree or HND,Female,Agency and others,2,1991,0,2018,1,0,46,EDO,Yes,Married,No,No,2,0
YAK/S/00113,Customer Support and Field Operations,First Degree or HND,Male,Direct Internal process,2,1980,10,2013,1,0,55,RIVERS,Yes,Married,No,No,0,0
YAK/S/00115,Commercial Sales and Marketing,First Degree or HND,Male,Referral and Special candidates,2,1987,12.5,2014,0,0,41,OYO,Yes,Married,No,No,0,0
YAK/S/00116,Commercial Sales and Marketing,First Degree or HND,Female,Agency and others,2,1990,10,2017,0,0,38,LAGOS,Yes,Married,No,No,1,0
YAK/S/00117,Information Technology and Solution Support,First Degree or HND,Male,Agency and others,2,1994,12.5,2017,0,0,78,EDO,Yes,Married,No,No,4,1
YAK/S/00118,Sourcing and Purchasing,First Degree or HND,Male,Direct Internal process,5,1991,7.5,2017,0,0,64,OSUN,Yes,Married,No,No,0,0
YAK/S/00120,Information Technology and Solution Support,First Degree or HND,Male,Agency and others,5,1985,10,2012,0,0,74,ONDO,Yes,Single,No,No,2,0
YAK/S/00121,Information Technology and Solution Support,First Degree or HND,Male,Direct Internal process,2,1986,10,2013,0,0,69,ENUGU,No,Married,No,No,0,0
YAK/S/00122,Commercial Sales and Marketing,MSc  MBA and PhD,Male,Agency and others,2,1987,12.5,2012,1,0,43,RIVERS,Yes,Married,No,No,1,1
YAK/S/00123,Sourcing and Purchasing,MSc  MBA and PhD,Male,Direct Internal process,2,1984,12.5,2016,0,1,84,FCT,Yes,Married,No,No,0,1
YAK/S/00124,Customer Support and Field Operations,First Degree or HND,Female,Direct Internal process,2,1994,0,2018,1,0,50,LAGOS,Yes,Single,No,No,1,0
YAK/S/00125,Sourcing and Purchasing,MSc  MBA and PhD,Male,Direct Internal process,3,1974,7.5,2014,1,0,63,BORNO,Yes,Single,No,No,1,0
YAK/S/00126,Information and Strategy,First Degree or HND,Male,Agency and others,2,1993,0,2018,1,0,75,EKITI,Yes,Married,No,No,1,0
YAK/S/00127,Sourcing and Purchasing,MSc  MBA and PhD,Female,Agency and others,2,1981,12.5,2014,0,0,60,GOMBE,Yes,Married,No,Yes,1,0
YAK/S/00128,Commercial Sales and Marketing,First Degree or HND,Female,Agency and others,2,1991,0,2018,0,0,42,RIVERS,Yes,Married,No,Yes,1,0
YAK/S/00129,Customer Support and Field Operations,MSc  MBA and PhD,Male,Agency and others,2,1983,12.5,2010,1,0,53,EDO,Yes,Married,No,No,1,0
YAK/S/00130,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,2,1991,7.5,2017,0,0,39,TARABA,No,Married,No,Yes,1,0
YAK/S/00131,Commercial Sales and Marketing,First Degree or HND,Female,Direct Internal process,2,1993,12.5,2016,0,0,38,ANAMBRA,Yes,Married,No,Yes,0,0
YAK/S/00133,Customer Support and Field Operations,First Degree or HND,Male,Direct Internal process,2,1986,10,2012,0,0,50,FCT,Yes,Married,No,No,4,0
YAK/S/00134,Information and Strategy,First Degree or HND,Male,Agency and others,2,1989,7.5,2011,0,0,81,KADUNA,Yes,Married,No,No,1,1
YAK/S/00135,Commercial Sales and Marketing,MSc  MBA and PhD,Male,Direct Internal process,2,1985,12.5,2011,0,0,42,OGUN,Yes,Married,No,No,0,0
YAK/S/00136,Customer Support and Field Operations,First Degree or HND,Male,Direct Internal process,2,1997,0,2018,1,0,48,LAGOS,Yes,Married,No,No,4,0
YAK/S/00138,Business Finance Operations,MSc  MBA and PhD,Male,Agency and others,3,1987,7.5,2012,0,0,48,KADUNA,No,Married,No,No,2,0
YAK/S/00139,Information Technology and Solution Support,First Degree or HND,Female,Agency and others,2,1990,10,2015,1,1,70,TARABA,Yes,Married,No,No,1,0
YAK/S/00140,Information Technology and Solution Support,First Degree or HND,Female,Direct Internal process,2,1991,10,2017,0,0,69,AKWA IBOM,Yes,Married,No,No,0,0
YAK/S/00141,Information Technology and Solution Support,First Degree or HND,Female,Agency and others,3,1991,7.5,2012,1,1,68,ENUGU,Yes,Married,No,Yes,1,0
YAK/S/00142,Business Finance Operations,First Degree or HND,Male,Direct Internal process,2,1990,0,2018,1,0,48,LAGOS,Yes,Single,No,No,0,0
YAK/S/00143,Information and Strategy,First Degree or HND,Male,Agency and others,2,1991,12.5,2016,1,0,76,KADUNA,Yes,Married,No,Yes,1,0
YAK/S/00144,Business Finance Operations,First Degree or HND,Male,Direct Internal process,2,1993,7.5,2017,0,0,49,ZAMFARA,Yes,Married,No,No,1,0
YAK/S/00145,Information Technology and Solution Support,First Degree or HND,Male,Agency and others,3,1993,7.5,2014,0,0,73,RIVERS,Yes,Married,No,No,1,0
YAK/S/00147,Commercial Sales and Marketing,MSc  MBA and PhD,Male,Direct Internal process,2,1975,7.5,2008,1,0,43,OSUN,Yes,Married,No,No,1,0
YAK/S/00148,Information Technology and Solution Support,First Degree or HND,Male,Direct Internal process,2,1990,12.5,2015,1,0,72,LAGOS,Yes,Single,No,No,0,0
YAK/S/00150,Commercial Sales and Marketing,MSc  MBA and PhD,Male,Agency and others,2,1990,10,2013,0,0,42,KADUNA,Yes,Married,No,No,0,0
YAK/S/00153,Sourcing and Purchasing,First Degree or HND,Male,Direct Internal process,2,1996,12.5,2016,1,0,62,NIGER,Yes,Married,No,No,0,1
YAK/S/00154,Customer Support and Field Operations,MSc  MBA and PhD,Male,Direct Internal process,2,1981,10,2015,1,0,49,LAGOS,Yes,Married,No,No,0,0
YAK/S/00155,Customer Support and Field Operations,MSc  MBA and PhD,Male,Agency and others,2,1978,7.5,2012,1,0,48,KEBBI,Yes,Married,No,No,6,1
YAK/S/00156,Customer Support and Field Operations,First Degree or HND,Male,Agency and others,2,1985,2.5,2014,0,0,48,FCT,Yes,Single,No,No,1,0
YAK/S/00158,Business Finance Operations,First Degree or HND,Male,Direct Internal process,3,1986,7.5,2017,0,0,48,LAGOS,Yes,Married,No,No,0,0
YAK/S/00159,Information and Strategy,MSc  MBA and PhD,Male,Agency and others,2,1987,12.5,2017,0,0,76,DELTA,Yes,Married,No,No,4,0
YAK/S/00160,Commercial Sales and Marketing,First Degree or HND,Female,Direct Internal process,2,1989,10,2015,1,0,37,KEBBI,No,Single,No,No,0,0
YAK/S/00161,People/HR Management,First Degree or HND,Male,Agency and others,2,1994,0,2018,1,0,42,GOMBE,Yes,Married,No,No,1,0
YAK/S/00162,Information Technology and Solution Support,First Degree or HND,Male,Direct Internal process,2,1992,7.5,2014,0,0,67,KANO,Yes,Single,No,Yes,1,0
YAK/S/00165,Sourcing and Purchasing,First Degree or HND,Female,Agency and others,2,1988,7.5,2016,1,0,65,AKWA IBOM,Yes,Married,No,No,3,0
YAK/S/00166,Sourcing and Purchasing,MSc  MBA and PhD,Female,Agency and others,2,1988,12.5,2015,1,0,59,CROSS RIVER,Yes,Married,No,No,1,0
YAK/S/00167,Commercial Sales and Marketing,First Degree or HND,Female,Agency and others,2,1982,2.5,2011,0,0,37,KANO,No,Married,No,No,0,0
YAK/S/00168,Information Technology and Solution Support,MSc  MBA and PhD,Male,Agency and others,2,1987,10,2012,0,0,74,FCT,Yes,Married,No,No,0,0
YAK/S/00169,Information Technology and Solution Support,First Degree or HND,Male,Agency and others,3,1989,10,2013,0,0,76,DELTA,Yes,Married,No,No,3,0
YAK/S/00170,Commercial Sales and Marketing,MSc  MBA and PhD,Male,Agency and others,2,1987,10,2013,0,0,45,KANO,Yes,Married,No,No,0,0
YAK/S/00172,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,3,1993,2.5,2017,0,0,42,KADUNA,Yes,Married,No,No,0,0
YAK/S/00173,Information Technology and Solution Support,First Degree or HND,Female,Agency and others,2,1993,5,2014,0,0,67,OYO,Yes,Married,No,Yes,2,0
YAK/S/00175,Information Technology and Solution Support,First Degree or HND,Female,Agency and others,3,1981,7.5,2016,0,0,78,ADAMAWA,Yes,Married,No,No,1,0
YAK/S/00176,Commercial Sales and Marketing,First Degree or HND,Female,Agency and others,3,1994,5,2015,0,0,46,ENUGU,Yes,Married,No,No,0,0
YAK/S/00177,Sourcing and Purchasing,First Degree or HND,Female,Agency and others,4,1995,7.5,2016,1,0,62,DELTA,Yes,Married,No,No,0,0
YAK/S/00180,Information and Strategy,First Degree or HND,Male,Direct Internal process,2,1992,12.5,2013,1,0,76,ANAMBRA,Yes,Married,No,No,0,0
YAK/S/00181,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,2,1978,7.5,2004,0,0,43,ENUGU,Yes,Married,No,No,1,0
YAK/S/00182,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,4,1994,10,2015,0,0,41,OGUN,Yes,Married,No,No,1,0
YAK/S/00183,Sourcing and Purchasing,First Degree or HND,Male,Direct Internal process,2,1995,10,2015,1,0,62,LAGOS,Yes,Married,No,No,1,0
YAK/S/00184,Sourcing and Purchasing,First Degree or HND,Female,Agency and others,2,1990,12.5,2014,1,0,64,DELTA,Yes,Single,No,No,0,0
YAK/S/00185,Customer Support and Field Operations,First Degree or HND,Male,Agency and others,2,1981,10,2008,0,0,50,AKWA IBOM,Yes,Married,No,No,0,0
YAK/S/00186,Customer Support and Field Operations,First Degree or HND,Female,Agency and others,3,1982,12.5,2007,1,0,47,OGUN,Yes,Married,No,No,0,0
YAK/S/00188,Information Technology and Solution Support,MSc  MBA and PhD,Male,Agency and others,2,1974,10,2015,1,0,69,RIVERS,No,Married,No,No,1,0
YAK/S/00189,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,2,1987,10,2012,1,0,40,LAGOS,Yes,Married,No,No,1,1
YAK/S/00190,Customer Support and Field Operations,,Female,Agency and others,2,1988,10,2010,0,0,56,LAGOS,Yes,Single,No,No,5,0
YAK/S/00192,Information Technology and Solution Support,First Degree or HND,Male,Agency and others,2,1992,2.5,2015,0,0,72,ENUGU,Yes,Married,No,Yes,2,0
YAK/S/00193,Information and Strategy,First Degree or HND,Female,Agency and others,2,1989,7.5,2015,0,0,78,PLATEAU,Yes,Not_Sure,No,No,1,0
YAK/S/00194,Sourcing and Purchasing,MSc  MBA and PhD,Female,Agency and others,2,1974,12.5,2010,0,0,60,LAGOS,Yes,Married,No,No,1,0
YAK/S/00196,Information Technology and Solution Support,First Degree or HND,Male,Agency and others,2,1994,10,2017,0,0,67,ZAMFARA,Yes,Married,No,No,1,0
YAK/S/00198,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,3,1985,7.5,2010,0,0,41,LAGOS,Yes,Married,No,No,0,0
YAK/S/00199,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,3,1986,2.5,2011,0,0,31,OGUN,Yes,Single,No,No,0,0
YAK/S/00200,Sourcing and Purchasing,First Degree or HND,Female,Direct Internal process,3,1987,7.5,2017,0,0,62,EKITI,Yes,Married,No,No,0,0
YAK/S/00201,Commercial Sales and Marketing,MSc  MBA and PhD,Female,Direct Internal process,2,1987,10,2014,1,1,86,ABIA,No,Married,No,No,1,1
YAK/S/00202,Customer Support and Field Operations,MSc  MBA and PhD,Male,Direct Internal process,2,1982,7.5,2017,1,0,52,IMO,No,Married,No,No,1,0
YAK/S/00203,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,2,1995,12.5,2017,1,0,43,KANO,Yes,Married,No,No,0,0
YAK/S/00206,People/HR Management,MSc  MBA and PhD,Male,Direct Internal process,2,1977,12.5,2013,0,0,40,ANAMBRA,Yes,Married,No,No,1,0
YAK/S/00207,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,2,1983,7.5,2015,1,0,41,ENUGU,Yes,Married,No,No,1,0
YAK/S/00209,Regulatory and Legal services,MSc  MBA and PhD,Male,Direct Internal process,2,1971,12.5,2013,0,1,50,KADUNA,Yes,Married,No,No,0,0
YAK/S/00210,Sourcing and Purchasing,MSc  MBA and PhD,Male,Agency and others,2,1977,7.5,2007,0,0,62,AKWA IBOM,Yes,Married,No,No,1,0
YAK/S/00211,Sourcing and Purchasing,Non University Education,Female,Agency and others,2,1998,2.5,2017,0,0,61,RIVERS,Yes,Married,No,No,3,0
YAK/S/00212,Commercial Sales and Marketing,MSc  MBA and PhD,Female,Direct Internal process,2,1985,2.5,2017,0,0,45,LAGOS,Yes,Married,No,Yes,1,0
YAK/S/00214,Customer Support and Field Operations,First Degree or HND,Male,Direct Internal process,2,1987,12.5,2015,1,0,50,NASSARAWA,Yes,Single,No,No,1,0
YAK/S/00215,Information and Strategy,First Degree or HND,Male,Direct Internal process,2,1993,0,2018,0,0,77,GOMBE,Yes,Married,No,No,1,0
YAK/S/00217,Sourcing and Purchasing,First Degree or HND,Male,Direct Internal process,2,1986,2.5,2011,0,0,59,RIVERS,Yes,Single,No,No,0,0
YAK/S/00220,Information and Strategy,First Degree or HND,Male,Agency and others,3,1994,12.5,2016,1,0,77,KWARA,Yes,Married,No,No,1,0
YAK/S/00221,Sourcing and Purchasing,First Degree or HND,Male,Agency and others,5,1992,0,2018,0,0,60,ENUGU,No,Married,No,No,0,0
YAK/S/00222,Customer Support and Field Operations,First Degree or HND,Male,Direct Internal process,2,1978,7.5,2016,0,0,50,KANO,Yes,Married,No,Yes,1,0
YAK/S/00223,Information and Strategy,First Degree or HND,Male,Agency and others,3,1993,7.5,2014,1,0,78,KANO,Yes,Married,No,No,0,0
YAK/S/00224,Sourcing and Purchasing,First Degree or HND,Male,Agency and others,2,1990,12.5,2016,1,0,60,LAGOS,Yes,Married,No,No,0,0
YAK/S/00225,Customer Support and Field Operations,First Degree or HND,Female,Agency and others,2,1978,10,2007,0,0,50,KANO,Yes,Single,No,No,1,0
YAK/S/00226,Customer Support and Field Operations,First Degree or HND,Female,Agency and others,2,1986,12.5,2010,1,0,52,BENUE,Yes,Married,No,No,0,0
YAK/S/00227,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,3,1986,7.5,2010,0,0,41,FCT,Yes,Married,No,Yes,2,0
YAK/S/00229,People/HR Management,First Degree or HND,Female,Agency and others,2,1995,10,2016,0,0,42,RIVERS,Yes,Married,No,No,3,0
YAK/S/00230,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,2,1989,7.5,2014,1,0,44,RIVERS,Yes,Married,No,No,4,0
YAK/S/00231,Customer Support and Field Operations,MSc  MBA and PhD,Female,Agency and others,2,1983,12.5,2017,1,1,85,BAUCHI,Yes,Married,No,No,0,1
YAK/S/00232,Commercial Sales and Marketing,,Male,Agency and others,2,1999,10,2017,0,0,43,LAGOS,Yes,Single,No,No,0,0
YAK/S/00233,People/HR Management,First Degree or HND,Male,Agency and others,2,1993,0,2018,1,0,44,OSUN,No,Married,No,No,2,0
YAK/S/00234,Sourcing and Purchasing,First Degree or HND,Female,Direct Internal process,2,1984,7.5,2010,0,0,61,SOKOTO,Yes,Married,No,No,1,0
YAK/S/00236,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,2,1985,7.5,2011,0,0,43,ANAMBRA,Yes,Single,No,No,1,0
YAK/S/00237,Information Technology and Solution Support,First Degree or HND,Male,Agency and others,2,1986,7.5,2011,0,0,70,KADUNA,Yes,Single,No,No,0,0
YAK/S/00238,Information and Strategy,First Degree or HND,Male,Agency and others,2,1982,7.5,2015,1,0,77,IMO,Yes,Married,No,No,1,0
YAK/S/00239,Customer Support and Field Operations,First Degree or HND,Female,Direct Internal process,2,1990,12.5,2015,1,0,55,OGUN,Yes,Married,No,No,3,0
YAK/S/00241,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,2,1993,2.5,2017,0,0,40,LAGOS,Yes,Married,No,No,0,0
YAK/S/00243,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,2,1992,0,2018,0,0,46,AKWA IBOM,Yes,Married,No,No,1,0
